gene_tip,organism,protein_id
GCF_900461455_1_57530_D01_WP_011578196.1,Helicobacter acinonychis,WP_011578196.1
GCF_900478295_1_35377_D02_WP_108169317.1,Helicobacter pylori,WP_108169317.1
GCF_026000295_1_ASM2600029v1_WP_264828480.1,Helicobacter suis,WP_264828480.1
GCF_001282945_1_gastric_feline_helicobacters_WP_053945220.1,Helicobacter ailurogastricus,WP_053945220.1
GCF_001283065_1_Hheil_WP_015107496.1,Helicobacter heilmannii,WP_015107496.1
GCF_003660395_1_ASM366039v1_WP_121022303.1,Helicobacter vulpis,WP_121022303.1
GCF_003660285_1_ASM366028v1_WP_120945873.1,Helicobacter labacensis,WP_120945873.1
GCF_017979425_1_ASM1797942v1_WP_104694931.1,Helicobacter salomonis,WP_104694931.1
GCF_000200595_1_ASM20059v1_WP_041303220.1,Helicobacter felis,WP_041303220.1
GCF_003660265_1_ASM366026v1_WP_407925304.1,Helicobacter mehlei,WP_407925304.1
GCF_000196135_1_ASM19613v1_WP_011139415.1,Wolinella succinogenes,WP_011139415.1
GCF_000687535_1_ASM68753v1_WP_034551286.1,Helicobacter rodentium,WP_034551286.1
GCF_019711685_1_ASM1971168v1_WP_221531823.1,Helicobacter turcicus,WP_221531823.1
GCF_028751035_1_ASM2875103v1_WP_040498260.1,Helicobacter winghamensis,WP_040498260.1
GCF_003245365_1_ASM324536v1_WP_111229828.1,Helicobacter valdiviensis,WP_111229828.1
GCF_027859255_1_ASM2785925v1_WP_407081396.1,Helicobacter ibis,WP_407081396.1
GCF_017979475_1_ASM1797947v1_WP_151104919.1,Helicobacter pullorum,WP_151104919.1
GCF_000162575_1_ASM16257v1_WP_006655899.1,Helicobacter canadensis,WP_006655899.1
GCF_023646285_1_ASM2364628v1_WP_112057926.1,Helicobacter colisuis,WP_112057926.1
GCF_900115615_1_IMG-taxon_2654587899_annotated_assembly_WP_092911334.1,Hydrogenimonas thermophila,WP_092911334.1
GCF_016593255_1_ASM1659325v1_WP_201353117.1,Hydrogenimonas urashimensis,WP_201353117.1
GCF_030296055_1_ASM3029605v1_WP_286337222.1,Hydrogenimonas cancrithermarum,WP_286337222.1
GCF_000183725_1_ASM18372v1_WP_013459559.1,Sulfuricurvum kujiense,WP_013459559.1
GCF_017357825_1_ASM1735782v1_WP_207561209.1,Sulfurimonas aquatica,WP_207561209.1
GCF_000147355_1_ASM14735v1_WP_013327387.1,Sulfurimonas autotrophica,WP_013327387.1
GCF_009068765_1_ASM906876v1_WP_151899861.1,Sulfurimonas hydrogeniphila,WP_151899861.1
GCF_014905115_1_ASM1490511v1_WP_193150242.1,Sulfurimonas sediminis,WP_193150242.1
GCF_009192995_1_ASM919299v1_WP_152184796.1,Sulfurimonas indica,WP_152184796.1
GCF_014905135_1_ASM1490513v1_WP_193110337.1,Sulfurimonas paralvinellae,WP_193110337.1
GCF_014905095_1_ASM1490509v1_WP_193114207.1,Sulfurimonas marina,WP_193114207.1
GCF_000242915_1_ASM24291v2_WP_008335047.1,Sulfurimonas gotlandica,WP_008335047.1
GCF_000445475_1_Version_1_of_the_Sulfurimonas_hongkongensis_AST-10_genome_WP_021287054.1,Sulfurimonas hongkongensis,WP_021287054.1
GCF_009258225_1_ASM925822v1_WP_152306571.1,Sulfurimonas lithotrophica,WP_152306571.1
GCF_015265455_1_ASM1526545v1_WP_194368644.1,Sulfurimonas baltica,WP_194368644.1
GCF_015265475_1_ASM1526547v1_WP_194367241.1,Sulfurimonas marisnigri,WP_194367241.1
GCF_000012965_1_ASM1296v1_WP_011372195.1,Sulfurimonas denitrificans,WP_011372195.1
GCF_005217605_1_ASM521760v1_WP_137015403.1,Sulfurimonas crateris,WP_137015403.1
GCF_000021725_1_ASM2172v1_WP_015902532.1,Nautilia profundicola,WP_015902532.1
GCF_002335445_1_ASM233544v1_WP_096258928.1,Lebetimonas natsushimae,WP_096258928.1
GCF_003752135_1_ASM375213v1_WP_123352834.1,Caminibacter pacificus,WP_123352834.1
GCF_005843985_1_ASM584398v1_WP_138323012.1,Caminibacter mediatlanticus,WP_138323012.1
GCF_027946175_1_ASM2794617v1_WP_084275515.1,Nitratiruptor tergarcus,WP_084275515.1
GCF_015100395_1_ASM1510039v1_WP_234697166.1,Nitrosophilus alvini,WP_234697166.1
GCF_014466985_1_ASM1446698v1_WP_187647006.1,Nitrosophilus labii,WP_187647006.1
GCF_027943725_1_ASM2794372v1_WP_281951174.1,Nitrosophilus kaiyonis,WP_281951174.1
GCF_002119425_1_ASM211942v1_WP_086034418.1,Desulfurella amilsii,WP_086034418.1
GCF_000194135_1_ASM19413v1_WP_013681335.1,Hippea maritima,WP_013681335.1
GCF_000744435_1_ASM74443v1_WP_035586486.1,Hippea jasoniae,WP_035586486.1
GCF_000420385_1_ASM42038v1_WP_026939510.1,Hippea alviniae,WP_026939510.1
GCF_016937535_1_ASM1693753v1_WP_205459079.1,Sulfurospirillum tamanense,WP_205459079.1
GCF_000597725_1_ASM59772v1_WP_024955145.1,Sulfurospirillum arcachonense,WP_024955145.1
GCF_000024885_1_ASM2488v1_WP_012856924.1,Sulfurospirillum deleyianum,WP_012856924.1
GCF_000265295_1_ASM26529v1_WP_014769293.1,Sulfurospirillum barnesii,WP_014769293.1
GCF_000813325_1_ASM81332v1_WP_173636957.1,Sulfurospirillum cavolei,WP_173636957.1
GCF_000568815_1_ASM56881v1_WP_025344523.1,Sulfurospirillum multivorans,WP_025344523.1
GCF_001723605_1_ASM172360v1_WP_084010792.1,Sulfurospirillum halorespirans,WP_084010792.1
GCF_011769985_2_ASM1176998v3_WP_191342090.1,Sulfurospirillum diekertiae,WP_191342090.1
GCF_025770725_1_ASM2577072v1_WP_263832736.1,Sulfurospirillum oryzae,WP_263832736.1
GCF_008245005_1_ASM824500v1_WP_089182642.1,Campylobacter sputorum,WP_089182642.1
GCF_013177655_1_ASM1317765v1_WP_172230618.1,Campylobacter canadensis,WP_172230618.1
GCF_000816185_1_ASM81618v1_WP_039649393.1,Campylobacter insulaenigrae,WP_039649393.1
GCF_008245045_1_ASM824504v1_WP_039665213.1,Campylobacter volucris,WP_039665213.1
GCF_013372105_1_ASM1337210v1_WP_139424591.1,Campylobacter armoricus,WP_139424591.1
GCF_013201605_1_ASM1320160v1_WP_066007082.1,Campylobacter ornithocola,WP_066007082.1
GCF_013372185_1_ASM1337218v1_WP_012661141.1,Campylobacter lari,WP_012661141.1
GCF_000816305_1_ASM81630v1_WP_043019469.1,Campylobacter subantarcticus,WP_043019469.1
GCF_000816785_1_ASM81678v1_WP_044598415.1,Campylobacter peloridis,WP_044598415.1
GCF_002238335_1_ASM223833v1_WP_094325697.1,Campylobacter avium,WP_094325697.1
GCF_006864425_1_ASM686442v1_WP_142693775.1,Campylobacter troglodytis,WP_142693775.1
GCF_004323845_1_ASM432384v1_WP_131162899.1,Campylobacter novaezeelandiae,WP_131162899.1
GCF_002104335_1_ASM210433v1_WP_027305228.1,Campylobacter cuniculorum,WP_027305228.1
GCF_002080395_1_ASM208039v1_WP_082199114.1,Campylobacter helveticus,WP_082199114.1
GCF_900637395_1_50648_G01_WP_027304507.1,Campylobacter upsaliensis,WP_027304507.1
GCF_005406215_1_ASM540621v1_WP_137622922.1,Campylobacter aviculae,WP_137622922.1
GCF_005406225_1_ASM540622v1_WP_137624502.1,Campylobacter taeniopygiae,WP_137624502.1
GCF_000254135_1_ASM25413v2_WP_002831996.1,Campylobacter coli,WP_002831996.1
GCF_001457695_1_NCTC11351_WP_004306506.1,Campylobacter jejuni,WP_004306506.1
GCF_001687475_2_ASM168747v2_WP_066777645.1,Campylobacter hepaticus,WP_066777645.1
GCF_016806695_1_ASM1680669v1_WP_158334834.1,Campylobacter bilis,WP_158334834.1
GCF_004803795_1_ASM480379v1_WP_002945091.1,Campylobacter rectus,WP_002945091.1
GCF_004803815_1_ASM480381v1_WP_039895253.1,Campylobacter showae,WP_039895253.1
GCF_014253065_1_ASM1425306v1_WP_185898961.1,Campylobacter massiliensis,WP_185898961.1
GCF_018145655_1_ASM1814565v1_WP_212141067.1,Campylobacter anatolicus,WP_212141067.1
GCF_001298465_1_ASM129846v1_WP_054196706.1,Campylobacter concisus,WP_054196706.1
GCF_013372125_1_ASM1337212v1_WP_407644587.1,Campylobacter curvus,WP_407644587.1
GCF_013372205_1_ASM1337220v1_WP_034967177.1,Campylobacter mucosalis,WP_034967177.1
GCF_905120475_1_LMG_8286_WP_418884443.1,Campylobacter suis,WP_418884443.1
GCF_030249845_1_ASM3024984v1_WP_284937018.1,Campylobacter gastrosuis,WP_284937018.1
GCF_002021925_1_ASM202192v1_WP_078440737.1,Campylobacter pinnipediorum,WP_078440737.1
GCF_905120465_1_LMG_7974_WP_229932433.1,Campylobacter majalis,WP_229932433.1
GCF_028649595_1_ASM2864959v1_WP_273933084.1,Campylobacter magnus,WP_273933084.1
GCF_002139875_1_ASM213987v1_WP_086255871.1,Campylobacter vicugnae,WP_086255871.1
GCF_002139915_1_ASM213991v1_WP_086224074.1,Campylobacter devanensis,WP_086224074.1
GCF_002139935_1_ASM213993v1_WP_170000563.1,Campylobacter lanienae,WP_170000563.1
GCF_002139855_1_ASM213985v1_WP_086238103.1,Campylobacter porcelli,WP_086238103.1
GCF_900475935_1_48450_H02_WP_024305270.1,Campylobacter fetus,WP_024305270.1
GCF_013372145_1_ASM1337214v1_WP_034962250.1,Campylobacter hyointestinalis,WP_034962250.1
GCF_000736415_1_ASM73641v1_WP_038453378.1,Campylobacter iguaniorum,WP_038453378.1
