species_tip,gene_tip
Campylobacter bilis,GCF_016806695_1_ASM1680669v1_WP_158334834.1
Campylobacter jejuni,GCF_001457695_1_NCTC11351_WP_004306506.1
Campylobacter novaezeelandiae,GCF_004323845_1_ASM432384v1_WP_131162899.1
Campylobacter cuniculorum,GCF_002104335_1_ASM210433v1_WP_027305228.1
Campylobacter helveticus,GCF_002080395_1_ASM208039v1_WP_082199114.1
Campylobacter upsaliensis,GCF_900637395_1_50648_G01_WP_027304507.1
Campylobacter troglodytis,GCF_006864425_1_ASM686442v1_WP_142693775.1
Campylobacter avium,GCF_002238335_1_ASM223833v1_WP_094325697.1
Campylobacter canadensis,GCF_013177655_1_ASM1317765v1_WP_172230618.1
Sulfurospirillum tamanense,GCF_016937535_1_ASM1693753v1_WP_205459079.1
Sulfurospirillum arcachonense,GCF_000597725_1_ASM59772v1_WP_024955145.1
Sulfurospirillum multivorans,GCF_000568815_1_ASM56881v1_WP_025344523.1
Sulfurospirillum halorespirans,GCF_001723605_1_ASM172360v1_WP_084010792.1
Sulfurospirillum oryzae,GCF_025770725_1_ASM2577072v1_WP_263832736.1
Sulfurospirillum diekertiae,GCF_011769985_2_ASM1176998v3_WP_191342090.1
Sulfurospirillum deleyianum,GCF_000024885_1_ASM2488v1_WP_012856924.1
Sulfurospirillum barnesii,GCF_000265295_1_ASM26529v1_WP_014769293.1
Sulfurospirillum cavolei,GCF_000813325_1_ASM81332v1_WP_173636957.1
Helicobacter rodentium,GCF_000687535_1_ASM68753v1_WP_034551286.1
Helicobacter turcicus,GCF_019711685_1_ASM1971168v1_WP_221531823.1
Helicobacter winghamensis,GCF_028751035_1_ASM2875103v1_WP_040498260.1
Helicobacter pullorum,GCF_017979475_1_ASM1797947v1_WP_151104919.1
Helicobacter canadensis,GCF_000162575_1_ASM16257v1_WP_006655899.1
Helicobacter colisuis,GCF_023646285_1_ASM2364628v1_WP_112057926.1
Helicobacter valdiviensis,GCF_003245365_1_ASM324536v1_WP_111229828.1
Helicobacter ibis,GCF_027859255_1_ASM2785925v1_WP_407081396.1
Wolinella succinogenes,GCF_000196135_1_ASM19613v1_WP_011139415.1
Helicobacter salomonis,GCF_017979425_1_ASM1797942v1_WP_104694931.1
Helicobacter labacensis,GCF_003660285_1_ASM366028v1_WP_120945873.1
Helicobacter vulpis,GCF_003660395_1_ASM366039v1_WP_121022303.1
Helicobacter felis,GCF_000200595_1_ASM20059v1_WP_041303220.1
Helicobacter mehlei,GCF_003660265_1_ASM366026v1_WP_407925304.1
Helicobacter ailurogastricus,GCF_001282945_1_gastric_feline_helicobacters_WP_053945220.1
Helicobacter heilmannii,GCF_001283065_1_Hheil_WP_015107496.1
Helicobacter suis,GCF_026000295_1_ASM2600029v1_WP_264828480.1
Helicobacter pylori,GCF_900478295_1_35377_D02_WP_108169317.1
Helicobacter acinonychis,GCF_900461455_1_57530_D01_WP_011578196.1
Helicobacter cetorum,GCF_000259275_1_ASM25927v1_WP_014659738.1
Helicobacter anatolicus,GCF_021300615_1_ASM2130061v1_WP_233075497.1
Helicobacter mustelae,GCF_900476215_1_51342_F02_WP_013022697.1
Helicobacter anseris,GCF_003364335_1_ASM336433v1_WP_170126831.1
Helicobacter canis,GCF_008693005_1_ASM869300v1_WP_034578676.1
Helicobacter macacae,GCF_000507845_1_Heli_maca_MIT_99-5501_V1_WP_023928016.1
Helicobacter trogontum,GCF_000765905_2_ASM76590v2_WP_052096598.1
Helicobacter bilis,GCF_000686565_1_ASM68656v1_WP_372446116.1
Helicobacter didelphidarum,GCF_003364195_1_ASM336419v1_WP_407918836.1
Helicobacter saguini,GCF_000762875_2_ASM76287v2_WP_118949391.1
Helicobacter muridarum,GCF_000765805_2_ASM76580v2_WP_407918752.1
Helicobacter cinaedi,GCF_000155475_1_ASM15547v1_WP_172583201.1
Helicobacter labetoulli,GCF_003670275_1_ASM367027v1_WP_208630942.1
Helicobacter jaachi,GCF_000763135_2_ASM76313v2_WP_052058099.1
Helicobacter japonicus,GCF_000762845_2_ASM76284v2_WP_138129777.1
Helicobacter marmotae,GCF_003364255_1_ASM336425v1_WP_411710125.1
Helicobacter himalayensis,GCF_001602095_1_ASM160209v1_WP_066386882.1
Helicobacter enhydrae,GCF_001693335_1_ASM169333v1_WP_066341055.1
Helicobacter pametensis,GCF_000518225_1_ASM51822v1_WP_420806124.1
Helicobacter kayseriensis,GCF_021300655_1_ASM2130065v1_WP_233033460.1
Helicobacter brantae,GCF_003364205_1_ASM336420v1_WP_115569752.1
Helicobacter cholecystus,GCF_003364215_1_ASM336421v1_WP_104725012.1
Nitratiruptor tergarcus,GCF_027946175_1_ASM2794617v1_WP_084275515.1
Nitrosophilus kaiyonis,GCF_027943725_1_ASM2794372v1_WP_281951174.1
Nitrosophilus labii,GCF_014466985_1_ASM1446698v1_WP_187647006.1
Nitrosophilus alvini,GCF_015100395_1_ASM1510039v1_WP_234697166.1
Hydrogenimonas thermophila,GCF_900115615_1_IMG-taxon_2654587899_annotated_assembly_WP_092911334.1
Hydrogenimonas cancrithermarum,GCF_030296055_1_ASM3029605v1_WP_286337222.1
Hydrogenimonas urashimensis,GCF_016593255_1_ASM1659325v1_WP_201353117.1
Sulfurimonas aquatica,GCF_017357825_1_ASM1735782v1_WP_207561209.1
Sulfurimonas gotlandica,GCF_000242915_1_ASM24291v2_WP_008335047.1
Sulfurimonas hongkongensis,GCF_000445475_1_Version_1_of_the_Sulfurimonas_hongkongensis_AST-10_genome_WP_021287054.1
Sulfurimonas baltica,GCF_015265455_1_ASM1526545v1_WP_194368644.1
Sulfurimonas marisnigri,GCF_015265475_1_ASM1526547v1_WP_194367241.1
Sulfurimonas lithotrophica,GCF_009258225_1_ASM925822v1_WP_152306571.1
Sulfurimonas hydrogeniphila,GCF_009068765_1_ASM906876v1_WP_151899861.1
Sulfurimonas sediminis,GCF_014905115_1_ASM1490511v1_WP_193150242.1
Sulfurimonas autotrophica,GCF_000147355_1_ASM14735v1_WP_013327387.1
Sulfurimonas indica,GCF_009192995_1_ASM919299v1_WP_152184796.1
Sulfurimonas paralvinellae,GCF_014905135_1_ASM1490513v1_WP_193110337.1
Sulfurimonas marina,GCF_014905095_1_ASM1490509v1_WP_193114207.1
Sulfurimonas denitrificans,GCF_000012965_1_ASM1296v1_WP_011372195.1
Sulfurimonas crateris,GCF_005217605_1_ASM521760v1_WP_137015403.1
Sulfuricurvum kujiense,GCF_000183725_1_ASM18372v1_WP_013459559.1
Malaciobacter halophilus,GCF_002837275_1_ASM283727v1_WP_228151984.1
Malaciobacter marinus,GCF_003544855_1_ASM354485v1_WP_228150807.1
Malaciobacter molluscorum,GCF_003544935_1_ASM354493v1_WP_228149997.1
Malaciobacter mytili,GCF_003346775_1_ASM334677v1_WP_228197865.1
Arcobacter suis,GCF_003544815_1_ASM354481v1_WP_226799952.1
Arcobacter caeni,GCF_003063245_1_ASM306324v1_WP_228156429.1
Arcobacter venerupis,GCF_013201665_1_ASM1320166v1_WP_228201884.1
Arcobacter acticola,GCF_013177675_1_ASM1317767v1_WP_172124453.1
Arcobacter aquimarinus,GCF_013177635_1_ASM1317763v1_WP_228254492.1
Arcobacter cloacae,GCF_013201935_1_ASM1320193v1_WP_228711020.1
Arcobacter defluvii,GCF_013201725_1_ASM1320172v1_WP_228712348.1
Arcobacter ellisii,GCF_003544915_1_ASM354491v1_WP_226806003.1
Aliarcobacter trophiarum,GCF_003355515_1_ASM335551v1_WP_115427642.1
Aliarcobacter cryaerophilus,GCF_003660105_1_ASM366010v1_WP_105916852.1
Aliarcobacter thereius,GCF_004214815_1_ASM421481v1_WP_066182531.1
Arcobacter porcinus,GCF_004299785_2_ASM429978v2_WP_066386117.1
Aliarcobacter skirrowii,GCF_003544835_1_ASM354483v1_WP_066352870.1
Aliarcobacter vitoriensis,GCF_003316695_1_ASM331669v1_WP_113892374.1
Aliarcobacter lanthieri,GCF_013201625_1_ASM1320162v1_WP_026807231.1
Aliarcobacter faecis,GCF_013201705_1_ASM1320170v1_WP_026805096.1
Aliarcobacter cibarius,GCF_013372265_1_ASM1337226v1_WP_024774608.1
Arcobacter vandammei,GCF_016106035_1_ASM1610603v1_WP_198304569.1
Arcobacter lacus,GCF_003063295_1_ASM306329v1_WP_226797429.1
Aliarcobacter butzleri,GCF_900187115_1_51699_F01_WP_046996971.1
Malaciobacter pacificus,GCF_004214795_1_ASM421479v1_WP_130234281.1
Poseidonibacter antarcticus,GCF_003667345_1_ASM366734v1_WP_121627203.1
Poseidonibacter parvus,GCF_001956695_1_ASM195669v1_WP_076088647.1
Poseidonibacter lekithochrous,GCF_013283835_1_ASM1328383v1_WP_071628050.1
Arcobacter roscoffensis,GCF_024267655_1_ASM2426765v1_WP_254576447.1
Halarcobacter bivalviorum,GCF_003346815_1_ASM334681v1_WP_228254305.1
Halarcobacter anaerophilus,GCF_006459125_1_ASM645912v1_WP_129082036.1
Halarcobacter ebronensis,GCF_013201825_1_ASM1320182v1_WP_129087398.1
Arcobacter arenosus,GCF_005771535_1_ASM577153v1_WP_420836715.1
Arcobacter nitrofigilis,GCF_000092245_1_ASM9224v1_WP_013136674.1
Caminibacter pacificus,GCF_003752135_1_ASM375213v1_WP_123352834.1
Caminibacter mediatlanticus,GCF_005843985_1_ASM584398v1_WP_138323012.1
Nautilia profundicola,GCF_000021725_1_ASM2172v1_WP_015902532.1
Lebetimonas natsushimae,GCF_002335445_1_ASM233544v1_WP_096258928.1
Hippea alviniae,GCF_000420385_1_ASM42038v1_WP_026939510.1
Hippea maritima,GCF_000194135_1_ASM19413v1_WP_013681335.1
Hippea jasoniae,GCF_000744435_1_ASM74443v1_WP_035586486.1
Desulfurella amilsii,GCF_002119425_1_ASM211942v1_WP_086034418.1
