gene	accession	ref_hits	ref_agree	ref_disagree	ref_unnamed	disagreeing_refs	eggnog_status	eggnog_name	flag
chea	GCF_003364205.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_003364215.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_003364255.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_003364335.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_003660265.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_003670275.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_003752135.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_004323845.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_004803795.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_004803815.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_005217605.1	4	1	1	2	H.pylori:cheay2			
chea	GCF_005406215.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_005406225.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_005843985.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_006864425.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_008245005.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_008245045.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_008693005.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_009068765.1	4	1	1	2	H.pylori:cheay2			
chea	GCF_009192995.1	4	1	1	2	H.pylori:cheay2			
chea	GCF_009258225.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_011769985.2	5	2	1	2	H.pylori:cheay2			
chea	GCF_013177655.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_013201605.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_013372105.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_013372125.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_013372145.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_013372185.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_013372205.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_014253065.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_014905095.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_014905115.1	4	1	1	2	H.pylori:cheay2			
chea	GCF_014905135.1	4	1	1	2	H.pylori:cheay2			
chea	GCF_015265455.1	4	1	1	2	H.pylori:cheay2			
chea	GCF_015265475.1	4	1	1	2	H.pylori:cheay2			
chea	GCF_016593255.1	4	1	1	2	H.pylori:cheay2			
chea	GCF_016806695.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_016937535.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_017357825.1	4	1	1	2	H.pylori:cheay2			
chea	GCF_017979425.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_017979475.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_018145655.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_019711685.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_021300615.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_021300655.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_023646285.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_025770725.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_027859255.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_028649595.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_028751035.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_030249845.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_030296055.1	4	1	1	2	H.pylori:cheay2			
chea	GCF_900115615.1	4	1	1	2	H.pylori:cheay2			
chea	GCF_900461455.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_900475935.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_900476215.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_900478295.1	4	2	0	2				
chea	GCF_900637395.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_905120465.1	5	2	1	2	H.pylori:cheay2			
chea	GCF_905120475.1	5	2	1	2	H.pylori:cheay2			
chev	GCF_000012965.1	4	2	1	1	H.pylori:chev3			
chev	GCF_000021725.1	4	2	1	1	H.pylori:chev3			
chev	GCF_000024885.1	5	2	1	2	H.pylori:chev3			
chev	GCF_000147355.1	5	2	1	2	H.pylori:chev3			
chev	GCF_000155475.1	5	2	1	2	H.pylori:chev3			
chev	GCF_000162575.1	5	2	1	2	H.pylori:chev3			
chev	GCF_000183725.1	5	2	1	2	H.pylori:chev3			
chev	GCF_000196135.1	5	2	1	2	H.pylori:chev3			
chev	GCF_000200595.1	5	2	1	2	H.pylori:chev3			
chev	GCF_000242915.1	5	2	1	2	H.pylori:chev3			
chev	GCF_000254135.1	5	2	1	2	H.pylori:chev3			
chev	GCF_000259275.1	5	2	1	2	H.pylori:chev3			
chev	GCF_000265295.1	5	2	1	2	H.pylori:chev3			
chev	GCF_000445475.1	5	2	1	2	H.pylori:chev3			
chev	GCF_000507845.1	5	2	1	2	H.pylori:chev3			
chev	GCF_000568815.1	5	2	1	2	H.pylori:chev3			
chev	GCF_000597725.1	5	2	1	2	H.pylori:chev3			
chev	GCF_000686565.1	5	2	1	2	H.pylori:chev3			
chev	GCF_000687535.1	5	2	1	2	H.pylori:chev3			
chev	GCF_000736415.1	5	2	1	2	H.pylori:chev3			
chev	GCF_000762845.2	5	2	1	2	H.pylori:chev3			
chev	GCF_000762875.2	5	2	1	2	H.pylori:chev3			
chev	GCF_000763135.2	5	2	1	2	H.pylori:chev3			
chev	GCF_000765805.2	5	2	1	2	H.pylori:chev3			
chev	GCF_000765905.2	5	2	1	2	H.pylori:chev3			
chev	GCF_000813325.1	5	2	1	2	H.pylori:chev3			
chev	GCF_000816185.1	5	2	1	2	H.pylori:chev3			
chev	GCF_000816305.1	5	2	1	2	H.pylori:chev3			
chev	GCF_000816785.1	5	2	1	2	H.pylori:chev3			
chev	GCF_001282945.1	5	2	1	2	H.pylori:chev3			
chev	GCF_001283065.1	5	2	1	2	H.pylori:chev3			
chev	GCF_001298465.1	5	2	1	2	H.pylori:chev3			
chev	GCF_001457695.1	4	1	1	2	H.pylori:chev3			
chev	GCF_001602095.1	5	2	1	2	H.pylori:chev3			
chev	GCF_001687475.2	5	2	1	2	H.pylori:chev3			
chev	GCF_001723605.1	5	2	1	2	H.pylori:chev3			
chev	GCF_002021925.1	5	2	1	2	H.pylori:chev3			
chev	GCF_002080395.1	5	2	1	2	H.pylori:chev3			
chev	GCF_002104335.1	5	2	1	2	H.pylori:chev3			
chev	GCF_002139855.1	5	2	1	2	H.pylori:chev3			
chev	GCF_002139875.1	5	2	1	2	H.pylori:chev3			
chev	GCF_002139915.1	5	2	1	2	H.pylori:chev3			
chev	GCF_002139935.1	5	2	1	2	H.pylori:chev3			
chev	GCF_002238335.1	5	2	1	2	H.pylori:chev3			
chev	GCF_002335445.1	5	2	1	2	H.pylori:chev3			
chev	GCF_003245365.1	5	2	1	2	H.pylori:chev3			
chev	GCF_003364195.1	5	2	1	2	H.pylori:chev3			
chev	GCF_003364255.1	5	2	1	2	H.pylori:chev3			
chev	GCF_003660285.1	5	2	1	2	H.pylori:chev3			
chev	GCF_003660395.1	5	2	1	2	H.pylori:chev3			
chev	GCF_003670275.1	5	2	1	2	H.pylori:chev3			
chev	GCF_003752135.1	5	2	1	2	H.pylori:chev3			
chev	GCF_004323845.1	5	2	1	2	H.pylori:chev3			
chev	GCF_004803795.1	5	2	1	2	H.pylori:chev3			
chev	GCF_004803815.1	5	2	1	2	H.pylori:chev3			
chev	GCF_005217605.1	5	2	1	2	H.pylori:chev3			
chev	GCF_005406215.1	5	2	1	2	H.pylori:chev3			
chev	GCF_005406225.1	5	2	1	2	H.pylori:chev3			
chev	GCF_005843985.1	5	2	1	2	H.pylori:chev3			
chev	GCF_006864425.1	5	2	1	2	H.pylori:chev3			
chev	GCF_008245005.1	5	2	1	2	H.pylori:chev3			
chev	GCF_008245045.1	5	2	1	2	H.pylori:chev3			
chev	GCF_008693005.1	5	2	1	2	H.pylori:chev3			
chev	GCF_009068765.1	5	2	1	2	H.pylori:chev3			
chev	GCF_009192995.1	5	2	1	2	H.pylori:chev3			
chev	GCF_009258225.1	5	2	1	2	H.pylori:chev3			
chev	GCF_011769985.2	5	2	1	2	H.pylori:chev3			
chev	GCF_013177655.1	5	2	1	2	H.pylori:chev3			
chev	GCF_013201605.1	5	2	1	2	H.pylori:chev3			
chev	GCF_013372105.1	5	2	1	2	H.pylori:chev3			
chev	GCF_013372125.1	5	2	1	2	H.pylori:chev3			
chev	GCF_013372145.1	5	2	1	2	H.pylori:chev3			
chev	GCF_013372185.1	5	2	1	2	H.pylori:chev3			
chev	GCF_013372205.1	5	2	1	2	H.pylori:chev3			
chev	GCF_014253065.1	5	2	1	2	H.pylori:chev3			
chev	GCF_014466985.1	5	2	1	2	H.pylori:chev3			
chev	GCF_014905095.1	5	2	1	2	H.pylori:chev3			
chev	GCF_014905115.1	5	2	1	2	H.pylori:chev3			
chev	GCF_014905135.1	5	2	1	2	H.pylori:chev3			
chev	GCF_015265455.1	5	2	1	2	H.pylori:chev3			
chev	GCF_015265475.1	5	2	1	2	H.pylori:chev3			
chev	GCF_016593255.1	5	2	1	2	H.pylori:chev3			
chev	GCF_016806695.1	5	2	1	2	H.pylori:chev3			
chev	GCF_016937535.1	5	2	1	2	H.pylori:chev3			
chev	GCF_017357825.1	5	2	1	2	H.pylori:chev3			
chev	GCF_017979425.1	5	2	1	2	H.pylori:chev3			
chev	GCF_017979475.1	5	2	1	2	H.pylori:chev3			
chev	GCF_018145655.1	5	2	1	2	H.pylori:chev3			
chev	GCF_019711685.1	5	2	1	2	H.pylori:chev3			
chev	GCF_023646285.1	5	2	1	2	H.pylori:chev3			
chev	GCF_025770725.1	5	2	1	2	H.pylori:chev3			
chev	GCF_026000295.1	5	2	1	2	H.pylori:chev3			
chev	GCF_027859255.1	5	2	1	2	H.pylori:chev3			
chev	GCF_027943725.1	5	2	1	2	H.pylori:chev3			
chev	GCF_027946175.1	5	2	1	2	H.pylori:chev3			
chev	GCF_028649595.1	5	2	1	2	H.pylori:chev3			
chev	GCF_028751035.1	5	2	1	2	H.pylori:chev3			
chev	GCF_030249845.1	5	2	1	2	H.pylori:chev3			
chev	GCF_030296055.1	5	2	1	2	H.pylori:chev3			
chev	GCF_900115615.1	5	2	1	2	H.pylori:chev3			
chev	GCF_900461455.1	5	2	1	2	H.pylori:chev3			
chev	GCF_900475935.1	5	2	1	2	H.pylori:chev3			
chev	GCF_900478295.1	4	2	0	2				
chev	GCF_900637395.1	5	2	1	2	H.pylori:chev3			
chev	GCF_905120465.1	5	2	1	2	H.pylori:chev3			
chev	GCF_905120475.1	5	2	1	2	H.pylori:chev3			
flag	GCF_000012965.1	2	2	0	0				
flag	GCF_000021725.1	0	0	0	0				
flag	GCF_000024885.1	3	3	0	0				
flag	GCF_000147355.1	3	3	0	0				
flag	GCF_000155475.1	3	3	0	0				
flag	GCF_000162575.1	0	0	0	0				
flag	GCF_000194135.1	3	3	0	0				
flag	GCF_000196135.1	4	4	0	0				
flag	GCF_000200595.1	3	3	0	0				
flag	GCF_000242915.1	3	3	0	0				
flag	GCF_000254135.1	3	3	0	0				
flag	GCF_000259275.1	3	3	0	0				
flag	GCF_000265295.1	3	3	0	0				
flag	GCF_000420385.1	3	3	0	0				
flag	GCF_000445475.1	3	3	0	0				
flag	GCF_000507845.1	3	3	0	0				
flag	GCF_000518225.1	4	4	0	0				
flag	GCF_000568815.1	3	3	0	0				
flag	GCF_000597725.1	3	3	0	0				
flag	GCF_000686565.1	3	3	0	0				
flag	GCF_000687535.1	0	0	0	0				
flag	GCF_000736415.1	3	3	0	0				
flag	GCF_000744435.1	2	2	0	0				
flag	GCF_000762845.2	2	2	0	0				
flag	GCF_000762875.2	0	0	0	0				
flag	GCF_000763135.2	3	3	0	0				
flag	GCF_000765805.2	3	3	0	0				
flag	GCF_000765905.2	3	3	0	0				
flag	GCF_000813325.1	3	3	0	0				
flag	GCF_000816185.1	3	3	0	0				
flag	GCF_000816305.1	3	3	0	0				
flag	GCF_000816785.1	3	3	0	0				
flag	GCF_001282945.1	3	3	0	0				
flag	GCF_001283065.1	3	3	0	0				
flag	GCF_001298465.1	1	1	0	0				
flag	GCF_001457695.1	2	2	0	0				
flag	GCF_001602095.1	3	3	0	0				
flag	GCF_001687475.2	3	3	0	0				
flag	GCF_001693335.1	3	3	0	0				
flag	GCF_001723605.1	3	3	0	0				
flag	GCF_002021925.1	3	3	0	0				
flag	GCF_002080395.1	1	1	0	0				
flag	GCF_002104335.1	2	2	0	0				
flag	GCF_002119425.1	2	2	0	0				
flag	GCF_002139855.1	3	3	0	0				
flag	GCF_002139875.1	3	3	0	0				
flag	GCF_002139915.1	3	3	0	0				
flag	GCF_002139935.1	3	3	0	0				
flag	GCF_002238335.1	3	3	0	0				
flag	GCF_002335445.1	1	1	0	0				
flag	GCF_003245365.1	3	3	0	0				
flag	GCF_003364195.1	2	2	0	0				
flag	GCF_003364205.1	4	4	0	0				
flag	GCF_003364215.1	4	4	0	0				
flag	GCF_003364255.1	3	3	0	0				
flag	GCF_003364335.1	3	3	0	0				
flag	GCF_003660265.1	4	4	0	0				
flag	GCF_003660285.1	2	2	0	0				
flag	GCF_003660395.1	2	2	0	0				
flag	GCF_003670275.1	3	3	0	0				
flag	GCF_003752135.1	4	4	0	0				
flag	GCF_004323845.1	3	3	0	0				
flag	GCF_004803795.1	3	3	0	0				
flag	GCF_004803815.1	3	3	0	0				
flag	GCF_005217605.1	3	3	0	0				
flag	GCF_005406215.1	3	3	0	0				
flag	GCF_005406225.1	3	3	0	0				
flag	GCF_005843985.1	4	4	0	0				
flag	GCF_006864425.1	0	0	0	0				
flag	GCF_008245005.1	3	3	0	0				
flag	GCF_008245045.1	4	4	0	0				
flag	GCF_008693005.1	3	3	0	0				
flag	GCF_009068765.1	2	2	0	0				
flag	GCF_009192995.1	1	1	0	0				
flag	GCF_009258225.1	3	3	0	0				
flag	GCF_011769985.2	0	0	0	0				
flag	GCF_013177655.1	3	3	0	0				
flag	GCF_013201605.1	0	0	0	0				
flag	GCF_013372105.1	1	1	0	0				
flag	GCF_013372125.1	1	1	0	0				
flag	GCF_013372145.1	0	0	0	0				
flag	GCF_013372185.1	3	3	0	0				
flag	GCF_013372205.1	3	3	0	0				
flag	GCF_014253065.1	3	3	0	0				
flag	GCF_014466985.1	2	2	0	0				
flag	GCF_014905095.1	3	3	0	0				
flag	GCF_014905115.1	2	2	0	0				
flag	GCF_014905135.1	2	2	0	0				
flag	GCF_015100395.1	1	1	0	0				
flag	GCF_015265455.1	3	3	0	0				
flag	GCF_015265475.1	3	3	0	0				
flag	GCF_016593255.1	4	4	0	0				
flag	GCF_016806695.1	3	3	0	0				
flag	GCF_016937535.1	0	0	0	0				
flag	GCF_017357825.1	3	3	0	0				
flag	GCF_017979425.1	3	3	0	0				
flag	GCF_017979475.1	3	3	0	0				
flag	GCF_018145655.1	3	3	0	0				
flag	GCF_019711685.1	0	0	0	0				
flag	GCF_021300615.1	4	4	0	0				
flag	GCF_021300655.1	3	3	0	0				
flag	GCF_023646285.1	0	0	0	0				
flag	GCF_025770725.1	3	3	0	0				
flag	GCF_026000295.1	3	3	0	0				
flag	GCF_027859255.1	4	4	0	0				
flag	GCF_027943725.1	2	2	0	0				
flag	GCF_027946175.1	2	2	0	0				
flag	GCF_028649595.1	2	2	0	0				
flag	GCF_028751035.1	3	3	0	0				
flag	GCF_030249845.1	3	3	0	0				
flag	GCF_030296055.1	0	0	0	0				
flag	GCF_900115615.1	3	3	0	0				
flag	GCF_900461455.1	3	3	0	0				
flag	GCF_900475935.1	3	3	0	0				
flag	GCF_900476215.1	3	3	0	0				
flag	GCF_900478295.1	2	2	0	0				
flag	GCF_900637395.1	3	3	0	0				
flag	GCF_905120465.1	0	0	0	0				
flag	GCF_905120475.1	3	3	0	0				
flga	GCF_000012965.1	2	2	0	0				
flga	GCF_000021725.1	1	1	0	0				
flga	GCF_000024885.1	3	3	0	0				
flga	GCF_000147355.1	3	3	0	0				
flga	GCF_000155475.1	4	4	0	0				
flga	GCF_000162575.1	2	2	0	0				
flga	GCF_000183725.1	3	3	0	0				
flga	GCF_000194135.1	0	0	0	0				
flga	GCF_000196135.1	1	1	0	0				
flga	GCF_000200595.1	3	3	0	0				
flga	GCF_000242915.1	2	2	0	0				
flga	GCF_000254135.1	4	4	0	0				
flga	GCF_000259275.1	4	4	0	0				
flga	GCF_000265295.1	2	2	0	0				
flga	GCF_000420385.1	0	0	0	0				
flga	GCF_000445475.1	3	3	0	0				
flga	GCF_000507845.1	3	3	0	0				
flga	GCF_000518225.1	1	1	0	0				
flga	GCF_000568815.1	2	2	0	0				
flga	GCF_000597725.1	3	3	0	0				
flga	GCF_000686565.1	2	2	0	0				
flga	GCF_000687535.1	2	2	0	0				
flga	GCF_000736415.1	4	4	0	0				
flga	GCF_000744435.1	0	0	0	0				
flga	GCF_000762845.2	2	2	0	0				
flga	GCF_000762875.2	3	3	0	0				
flga	GCF_000763135.2	3	3	0	0				
flga	GCF_000765805.2	1	1	0	0				
flga	GCF_000765905.2	1	1	0	0				
flga	GCF_000813325.1	4	4	0	0				
flga	GCF_000816185.1	4	4	0	0				
flga	GCF_000816305.1	4	4	0	0				
flga	GCF_000816785.1	4	4	0	0				
flga	GCF_001282945.1	2	2	0	0				
flga	GCF_001283065.1	3	3	0	0				
flga	GCF_001298465.1	2	2	0	0				
flga	GCF_001457695.1	2	2	0	0				
flga	GCF_001602095.1	0	0	0	0				
flga	GCF_001687475.2	2	2	0	0				
flga	GCF_001693335.1	1	1	0	0				
flga	GCF_001723605.1	3	3	0	0				
flga	GCF_002021925.1	2	2	0	0				
flga	GCF_002080395.1	4	4	0	0				
flga	GCF_002104335.1	3	3	0	0				
flga	GCF_002119425.1	0	0	0	0				
flga	GCF_002139855.1	2	2	0	0				
flga	GCF_002139875.1	1	1	0	0				
flga	GCF_002139915.1	3	3	0	0				
flga	GCF_002139935.1	1	1	0	0				
flga	GCF_002238335.1	4	4	0	0				
flga	GCF_002335445.1	2	2	0	0				
flga	GCF_003245365.1	3	3	0	0				
flga	GCF_003364195.1	2	2	0	0				
flga	GCF_003364205.1	3	3	0	0				
flga	GCF_003364215.1	2	2	0	0				
flga	GCF_003364255.1	3	3	0	0				
flga	GCF_003364335.1	2	2	0	0				
flga	GCF_003660265.1	2	2	0	0				
flga	GCF_003660285.1	3	3	0	0				
flga	GCF_003660395.1	3	3	0	0				
flga	GCF_003670275.1	4	4	0	0				
flga	GCF_003752135.1	2	2	0	0				
flga	GCF_004323845.1	4	4	0	0				
flga	GCF_004803795.1	3	3	0	0				
flga	GCF_004803815.1	3	3	0	0				
flga	GCF_005217605.1	2	2	0	0				
flga	GCF_005406215.1	4	4	0	0				
flga	GCF_005406225.1	4	4	0	0				
flga	GCF_005843985.1	2	2	0	0				
flga	GCF_006864425.1	3	3	0	0				
flga	GCF_008245005.1	3	3	0	0				
flga	GCF_008245045.1	4	4	0	0				
flga	GCF_008693005.1	1	1	0	0				
flga	GCF_009068765.1	4	4	0	0				
flga	GCF_009192995.1	2	2	0	0				
flga	GCF_009258225.1	2	2	0	0				
flga	GCF_011769985.2	3	3	0	0				
flga	GCF_013177655.1	2	2	0	0				
flga	GCF_013201605.1	4	4	0	0				
flga	GCF_013372105.1	4	4	0	0				
flga	GCF_013372125.1	2	2	0	0				
flga	GCF_013372145.1	4	4	0	0				
flga	GCF_013372185.1	4	4	0	0				
flga	GCF_013372205.1	3	3	0	0				
flga	GCF_014253065.1	2	2	0	0				
flga	GCF_014466985.1	0	0	0	0				
flga	GCF_014905095.1	3	3	0	0				
flga	GCF_014905115.1	3	3	0	0				
flga	GCF_014905135.1	3	3	0	0				
flga	GCF_015100395.1	0	0	0	0				
flga	GCF_015265455.1	3	3	0	0				
flga	GCF_015265475.1	3	3	0	0				
flga	GCF_016593255.1	2	2	0	0				
flga	GCF_016806695.1	4	4	0	0				
flga	GCF_016937535.1	3	3	0	0				
flga	GCF_017357825.1	3	3	0	0				
flga	GCF_017979425.1	3	3	0	0				
flga	GCF_018145655.1	3	3	0	0				
flga	GCF_019711685.1	1	1	0	0				
flga	GCF_021300615.1	3	3	0	0				
flga	GCF_021300655.1	1	1	0	0				
flga	GCF_023646285.1	2	2	0	0				
flga	GCF_025770725.1	3	3	0	0				
flga	GCF_026000295.1	1	0	0	1				
flga	GCF_027859255.1	3	3	0	0				
flga	GCF_027943725.1	0	0	0	0				
flga	GCF_027946175.1	2	2	0	0				
flga	GCF_028649595.1	1	1	0	0				
flga	GCF_028751035.1	2	2	0	0				
flga	GCF_030249845.1	4	4	0	0				
flga	GCF_030296055.1	3	3	0	0				
flga	GCF_900115615.1	4	4	0	0				
flga	GCF_900461455.1	3	3	0	0				
flga	GCF_900475935.1	2	2	0	0				
flga	GCF_900476215.1	2	2	0	0				
flga	GCF_900478295.1	1	1	0	0				
flga	GCF_900637395.1	3	3	0	0				
flga	GCF_905120465.1	3	3	0	0				
flga	GCF_905120475.1	3	3	0	0				
flgb	GCF_000012965.1	4	4	0	0				
flgb	GCF_000021725.1	4	4	0	0				
flgb	GCF_000024885.1	5	5	0	0				
flgb	GCF_000092245.1	5	5	0	0				
flgb	GCF_000147355.1	5	5	0	0				
flgb	GCF_000155475.1	5	5	0	0				
flgb	GCF_000162575.1	5	5	0	0				
flgb	GCF_000183725.1	5	5	0	0				
flgb	GCF_000194135.1	5	5	0	0				
flgb	GCF_000196135.1	5	5	0	0				
flgb	GCF_000200595.1	5	5	0	0				
flgb	GCF_000242915.1	5	5	0	0				
flgb	GCF_000254135.1	5	5	0	0				
flgb	GCF_000259275.1	5	5	0	0				
flgb	GCF_000265295.1	5	5	0	0				
flgb	GCF_000420385.1	5	5	0	0				
flgb	GCF_000445475.1	5	5	0	0				
flgb	GCF_000507845.1	5	5	0	0				
flgb	GCF_000518225.1	5	5	0	0				
flgb	GCF_000568815.1	5	5	0	0				
flgb	GCF_000597725.1	5	5	0	0				
flgb	GCF_000686565.1	5	5	0	0				
flgb	GCF_000687535.1	5	5	0	0				
flgb	GCF_000736415.1	5	5	0	0				
flgb	GCF_000744435.1	5	5	0	0				
flgb	GCF_000762845.2	5	5	0	0				
flgb	GCF_000762875.2	5	5	0	0				
flgb	GCF_000763135.2	5	5	0	0				
flgb	GCF_000765805.2	5	5	0	0				
flgb	GCF_000765905.2	5	5	0	0				
flgb	GCF_000813325.1	5	5	0	0				
flgb	GCF_000816185.1	5	5	0	0				
flgb	GCF_000816305.1	5	5	0	0				
flgb	GCF_000816785.1	5	5	0	0				
flgb	GCF_001282945.1	5	5	0	0				
flgb	GCF_001283065.1	5	5	0	0				
flgb	GCF_001298465.1	5	5	0	0				
flgb	GCF_001457695.1	4	4	0	0				
flgb	GCF_001602095.1	5	5	0	0				
flgb	GCF_001687475.2	5	5	0	0				
flgb	GCF_001693335.1	5	5	0	0				
flgb	GCF_001723605.1	5	5	0	0				
flgb	GCF_001956695.1	5	5	0	0				
flgb	GCF_002021925.1	5	5	0	0				
flgb	GCF_002080395.1	5	5	0	0				
flgb	GCF_002104335.1	5	5	0	0				
flgb	GCF_002119425.1	5	5	0	0				
flgb	GCF_002139855.1	5	5	0	0				
flgb	GCF_002139875.1	5	5	0	0				
flgb	GCF_002139915.1	5	5	0	0				
flgb	GCF_002139935.1	5	5	0	0				
flgb	GCF_002238335.1	5	5	0	0				
flgb	GCF_002335445.1	5	5	0	0				
flgb	GCF_002837275.1	5	5	0	0				
flgb	GCF_003063245.1	5	5	0	0				
flgb	GCF_003063295.1	5	5	0	0				
flgb	GCF_003245365.1	5	5	0	0				
flgb	GCF_003316695.1	5	5	0	0				
flgb	GCF_003346775.1	5	5	0	0				
flgb	GCF_003346815.1	5	5	0	0				
flgb	GCF_003355515.1	5	5	0	0				
flgb	GCF_003364195.1	5	5	0	0				
flgb	GCF_003364205.1	5	5	0	0				
flgb	GCF_003364215.1	5	5	0	0				
flgb	GCF_003364255.1	5	5	0	0				
flgb	GCF_003364335.1	5	5	0	0				
flgb	GCF_003544835.1	5	5	0	0				
flgb	GCF_003544855.1	5	5	0	0				
flgb	GCF_003544935.1	5	5	0	0				
flgb	GCF_003660105.1	5	5	0	0				
flgb	GCF_003660265.1	5	5	0	0				
flgb	GCF_003660285.1	5	5	0	0				
flgb	GCF_003660395.1	5	5	0	0				
flgb	GCF_003667345.1	5	5	0	0				
