tree	n_sites	ufboot	group_size	gtdb_span	n_gtdb_branches_contradicted	min_gcf_conflicting	recurrence	also_in	organisms	gtdb_extra	accessions
flif	501	97.0	2	5	2	9.09	17	CONCAT,flgc,flgg,flgh,flgi,flgs,flha,flid,flig,flih,flii,flin,flip,flis,fliy,pflb	Campylobacter mucosalis; Campylobacter suis	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	GCF_013372205.1,GCF_905120475.1
flgc	164	96.0	2	5	2	9.09	17	CONCAT,flgg,flgh,flgi,flgs,flha,flid,flif,flig,flih,flii,flin,flip,flis,fliy,pflb	Campylobacter mucosalis; Campylobacter suis	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	GCF_013372205.1,GCF_905120475.1
flgh	173	96.0	2	5	2	9.09	17	CONCAT,flgc,flgg,flgi,flgs,flha,flid,flif,flig,flih,flii,flin,flip,flis,fliy,pflb	Campylobacter mucosalis; Campylobacter suis	Campylobacter pinnipediorum; Campylobacter gastrosuis; Campylobacter majalis	GCF_013372205.1,GCF_905120475.1
flgs	270	99.0	2	4	1	None	17	CONCAT,flgc,flgg,flgh,flgi,flha,flid,flif,flig,flih,flii,flin,flip,flis,fliy,pflb	Campylobacter mucosalis; Campylobacter suis	Campylobacter pinnipediorum; Campylobacter majalis	GCF_013372205.1,GCF_905120475.1
flgb	109	100.0	2	4	1	6.06	16	CONCAT,chev,flag,flgh,flgi,flgj,flgl,flha,flhf,flie,flif,flim,flip,fliy,pflb	Helicobacter saguini; Helicobacter didelphidarum	Helicobacter bilis; Helicobacter trogontum	GCF_000762875.2,GCF_003364195.1
flgh	173	100.0	2	4	1	6.06	16	CONCAT,chev,flag,flgb,flgi,flgj,flgl,flha,flhf,flie,flif,flim,flip,fliy,pflb	Helicobacter saguini; Helicobacter didelphidarum	Helicobacter bilis; Helicobacter trogontum	GCF_000762875.2,GCF_003364195.1
flgi	260	100.0	2	4	1	6.06	16	CONCAT,chev,flag,flgb,flgh,flgj,flgl,flha,flhf,flie,flif,flim,flip,fliy,pflb	Helicobacter saguini; Helicobacter didelphidarum	Helicobacter bilis; Helicobacter trogontum	GCF_000762875.2,GCF_003364195.1
flgj	74	100.0	2	4	1	6.06	16	CONCAT,chev,flag,flgb,flgh,flgi,flgl,flha,flhf,flie,flif,flim,flip,fliy,pflb	Helicobacter saguini; Helicobacter didelphidarum	Helicobacter bilis; Helicobacter trogontum	GCF_000762875.2,GCF_003364195.1
flif	501	100.0	2	4	1	6.06	16	CONCAT,chev,flag,flgb,flgh,flgi,flgj,flgl,flha,flhf,flie,flim,flip,fliy,pflb	Helicobacter saguini; Helicobacter didelphidarum	Helicobacter bilis; Helicobacter trogontum	GCF_000762875.2,GCF_003364195.1
fliy	194	100.0	2	4	1	6.06	16	CONCAT,chev,flag,flgb,flgh,flgi,flgj,flgl,flha,flhf,flie,flif,flim,flip,pflb	Helicobacter saguini; Helicobacter didelphidarum	Helicobacter bilis; Helicobacter trogontum	GCF_000762875.2,GCF_003364195.1
CONCAT	None	100.0	2	4	1	6.06	16	chev,flag,flgb,flgh,flgi,flgj,flgl,flha,flhf,flie,flif,flim,flip,fliy,pflb	Helicobacter saguini; Helicobacter didelphidarum	Helicobacter bilis; Helicobacter trogontum	GCF_000762875.2,GCF_003364195.1
chev	312	99.0	2	4	1	6.06	16	CONCAT,flag,flgb,flgh,flgi,flgj,flgl,flha,flhf,flie,flif,flim,flip,fliy,pflb	Helicobacter saguini; Helicobacter didelphidarum	Helicobacter bilis; Helicobacter trogontum	GCF_000762875.2,GCF_003364195.1
flag	63	99.0	2	4	1	6.06	16	CONCAT,chev,flgb,flgh,flgi,flgj,flgl,flha,flhf,flie,flif,flim,flip,fliy,pflb	Helicobacter saguini; Helicobacter didelphidarum	Helicobacter bilis; Helicobacter trogontum	GCF_000762875.2,GCF_003364195.1
flip	243	99.0	2	4	1	6.06	16	CONCAT,chev,flag,flgb,flgh,flgi,flgj,flgl,flha,flhf,flie,flif,flim,fliy,pflb	Helicobacter saguini; Helicobacter didelphidarum	Helicobacter bilis; Helicobacter trogontum	GCF_000762875.2,GCF_003364195.1
pflb	600	98.0	2	4	1	6.06	16	CONCAT,chev,flag,flgb,flgh,flgi,flgj,flgl,flha,flhf,flie,flif,flim,flip,fliy	Helicobacter saguini; Helicobacter didelphidarum	Helicobacter bilis; Helicobacter trogontum	GCF_000762875.2,GCF_003364195.1
flha	554	96.0	2	4	1	6.06	16	CONCAT,chev,flag,flgb,flgh,flgi,flgj,flgl,flhf,flie,flif,flim,flip,fliy,pflb	Helicobacter saguini; Helicobacter didelphidarum	Helicobacter bilis; Helicobacter trogontum	GCF_000762875.2,GCF_003364195.1
flhf	311	96.0	2	4	1	6.06	16	CONCAT,chev,flag,flgb,flgh,flgi,flgj,flgl,flha,flie,flif,flim,flip,fliy,pflb	Helicobacter saguini; Helicobacter didelphidarum	Helicobacter bilis; Helicobacter trogontum	GCF_000762875.2,GCF_003364195.1
flim	303	96.0	2	4	1	6.06	16	CONCAT,chev,flag,flgb,flgh,flgi,flgj,flgl,flha,flhf,flie,flif,flip,fliy,pflb	Helicobacter saguini; Helicobacter didelphidarum	Helicobacter bilis; Helicobacter trogontum	GCF_000762875.2,GCF_003364195.1
flgl	299	95.0	2	4	1	6.06	16	CONCAT,chev,flag,flgb,flgh,flgi,flgj,flha,flhf,flie,flif,flim,flip,fliy,pflb	Helicobacter saguini; Helicobacter didelphidarum	Helicobacter bilis; Helicobacter trogontum	GCF_000762875.2,GCF_003364195.1
flie	67	95.0	2	4	1	6.06	16	CONCAT,chev,flag,flgb,flgh,flgi,flgj,flgl,flha,flhf,flif,flim,flip,fliy,pflb	Helicobacter saguini; Helicobacter didelphidarum	Helicobacter bilis; Helicobacter trogontum	GCF_000762875.2,GCF_003364195.1
flgb	109	100.0	2	4	1	9.09	14	CONCAT,flga,flgd,flgg,flgh,flgi,flgk,flgl,flgr,flif,flis,fliy,pflb	Sulfurospirillum diekertiae; Sulfurospirillum oryzae	Sulfurospirillum multivorans; Sulfurospirillum halorespirans	GCF_011769985.2,GCF_025770725.1
flgd	154	100.0	2	4	1	9.09	14	CONCAT,flga,flgb,flgg,flgh,flgi,flgk,flgl,flgr,flif,flis,fliy,pflb	Sulfurospirillum diekertiae; Sulfurospirillum oryzae	Sulfurospirillum multivorans; Sulfurospirillum halorespirans	GCF_011769985.2,GCF_025770725.1
flgg	262	100.0	2	4	1	9.09	14	CONCAT,flga,flgb,flgd,flgh,flgi,flgk,flgl,flgr,flif,flis,fliy,pflb	Sulfurospirillum diekertiae; Sulfurospirillum oryzae	Sulfurospirillum multivorans; Sulfurospirillum halorespirans	GCF_011769985.2,GCF_025770725.1
flgg	262	100.0	2	4	1	4.17	14	CONCAT,flgi,flgk,flgl,flha,flhf,flid,flif,flii,flim,fliq,flir,flis	Poseidonibacter lekithochrous; Arcobacter roscoffensis	Poseidonibacter parvus; Poseidonibacter antarcticus	GCF_013283835.1,GCF_024267655.1
flgh	173	100.0	2	4	1	9.09	14	CONCAT,flga,flgb,flgd,flgg,flgi,flgk,flgl,flgr,flif,flis,fliy,pflb	Sulfurospirillum diekertiae; Sulfurospirillum oryzae	Sulfurospirillum multivorans; Sulfurospirillum halorespirans	GCF_011769985.2,GCF_025770725.1
flgk	490	100.0	2	4	1	4.17	14	CONCAT,flgg,flgi,flgl,flha,flhf,flid,flif,flii,flim,fliq,flir,flis	Poseidonibacter lekithochrous; Arcobacter roscoffensis	Poseidonibacter parvus; Poseidonibacter antarcticus	GCF_013283835.1,GCF_024267655.1
flgk	490	100.0	2	4	1	9.09	14	CONCAT,flga,flgb,flgd,flgg,flgh,flgi,flgl,flgr,flif,flis,fliy,pflb	Sulfurospirillum diekertiae; Sulfurospirillum oryzae	Sulfurospirillum multivorans; Sulfurospirillum halorespirans	GCF_011769985.2,GCF_025770725.1
flgl	299	100.0	2	4	1	4.17	14	CONCAT,flgg,flgi,flgk,flha,flhf,flid,flif,flii,flim,fliq,flir,flis	Poseidonibacter lekithochrous; Arcobacter roscoffensis	Poseidonibacter parvus; Poseidonibacter antarcticus	GCF_013283835.1,GCF_024267655.1
flgl	299	100.0	2	4	1	9.09	14	CONCAT,flga,flgb,flgd,flgg,flgh,flgi,flgk,flgr,flif,flis,fliy,pflb	Sulfurospirillum diekertiae; Sulfurospirillum oryzae	Sulfurospirillum multivorans; Sulfurospirillum halorespirans	GCF_011769985.2,GCF_025770725.1
flgr	429	100.0	2	4	1	9.09	14	CONCAT,flga,flgb,flgd,flgg,flgh,flgi,flgk,flgl,flif,flis,fliy,pflb	Sulfurospirillum diekertiae; Sulfurospirillum oryzae	Sulfurospirillum multivorans; Sulfurospirillum halorespirans	GCF_011769985.2,GCF_025770725.1
flif	501	100.0	2	4	1	4.17	14	CONCAT,flgg,flgi,flgk,flgl,flha,flhf,flid,flii,flim,fliq,flir,flis	Poseidonibacter lekithochrous; Arcobacter roscoffensis	Poseidonibacter parvus; Poseidonibacter antarcticus	GCF_013283835.1,GCF_024267655.1
flii	428	100.0	2	4	1	4.17	14	CONCAT,flgg,flgi,flgk,flgl,flha,flhf,flid,flif,flim,fliq,flir,flis	Poseidonibacter lekithochrous; Arcobacter roscoffensis	Poseidonibacter parvus; Poseidonibacter antarcticus	GCF_013283835.1,GCF_024267655.1
fliq	86	100.0	2	4	1	4.17	14	CONCAT,flgg,flgi,flgk,flgl,flha,flhf,flid,flif,flii,flim,flir,flis	Poseidonibacter lekithochrous; Arcobacter roscoffensis	Poseidonibacter parvus; Poseidonibacter antarcticus	GCF_013283835.1,GCF_024267655.1
flir	194	100.0	2	4	1	4.17	14	CONCAT,flgg,flgi,flgk,flgl,flha,flhf,flid,flif,flii,flim,fliq,flis	Poseidonibacter lekithochrous; Arcobacter roscoffensis	Poseidonibacter parvus; Poseidonibacter antarcticus	GCF_013283835.1,GCF_024267655.1
flis	110	100.0	2	4	1	4.17	14	CONCAT,flgg,flgi,flgk,flgl,flha,flhf,flid,flif,flii,flim,fliq,flir	Poseidonibacter lekithochrous; Arcobacter roscoffensis	Poseidonibacter parvus; Poseidonibacter antarcticus	GCF_013283835.1,GCF_024267655.1
flis	110	100.0	2	4	1	9.09	14	CONCAT,flga,flgb,flgd,flgg,flgh,flgi,flgk,flgl,flgr,flif,fliy,pflb	Sulfurospirillum diekertiae; Sulfurospirillum oryzae	Sulfurospirillum multivorans; Sulfurospirillum halorespirans	GCF_011769985.2,GCF_025770725.1
CONCAT	None	100.0	2	4	1	4.17	14	flgg,flgi,flgk,flgl,flha,flhf,flid,flif,flii,flim,fliq,flir,flis	Poseidonibacter lekithochrous; Arcobacter roscoffensis	Poseidonibacter parvus; Poseidonibacter antarcticus	GCF_013283835.1,GCF_024267655.1
CONCAT	None	100.0	2	4	1	9.09	14	flga,flgb,flgd,flgg,flgh,flgi,flgk,flgl,flgr,flif,flis,fliy,pflb	Sulfurospirillum diekertiae; Sulfurospirillum oryzae	Sulfurospirillum multivorans; Sulfurospirillum halorespirans	GCF_011769985.2,GCF_025770725.1
flid	590	99.0	2	4	1	4.17	14	CONCAT,flgg,flgi,flgk,flgl,flha,flhf,flif,flii,flim,fliq,flir,flis	Poseidonibacter lekithochrous; Arcobacter roscoffensis	Poseidonibacter parvus; Poseidonibacter antarcticus	GCF_013283835.1,GCF_024267655.1
flim	303	99.0	2	4	1	4.17	14	CONCAT,flgg,flgi,flgk,flgl,flha,flhf,flid,flif,flii,fliq,flir,flis	Poseidonibacter lekithochrous; Arcobacter roscoffensis	Poseidonibacter parvus; Poseidonibacter antarcticus	GCF_013283835.1,GCF_024267655.1
flga	177	98.0	2	4	1	9.09	14	CONCAT,flgb,flgd,flgg,flgh,flgi,flgk,flgl,flgr,flif,flis,fliy,pflb	Sulfurospirillum diekertiae; Sulfurospirillum oryzae	Sulfurospirillum multivorans; Sulfurospirillum halorespirans	GCF_011769985.2,GCF_025770725.1
flgi	260	98.0	2	4	1	9.09	14	CONCAT,flga,flgb,flgd,flgg,flgh,flgk,flgl,flgr,flif,flis,fliy,pflb	Sulfurospirillum diekertiae; Sulfurospirillum oryzae	Sulfurospirillum multivorans; Sulfurospirillum halorespirans	GCF_011769985.2,GCF_025770725.1
flha	554	98.0	2	4	1	4.17	14	CONCAT,flgg,flgi,flgk,flgl,flhf,flid,flif,flii,flim,fliq,flir,flis	Poseidonibacter lekithochrous; Arcobacter roscoffensis	Poseidonibacter parvus; Poseidonibacter antarcticus	GCF_013283835.1,GCF_024267655.1
flhf	311	98.0	2	4	1	4.17	14	CONCAT,flgg,flgi,flgk,flgl,flha,flid,flif,flii,flim,fliq,flir,flis	Poseidonibacter lekithochrous; Arcobacter roscoffensis	Poseidonibacter parvus; Poseidonibacter antarcticus	GCF_013283835.1,GCF_024267655.1
flif	501	98.0	2	4	1	9.09	14	CONCAT,flga,flgb,flgd,flgg,flgh,flgi,flgk,flgl,flgr,flis,fliy,pflb	Sulfurospirillum diekertiae; Sulfurospirillum oryzae	Sulfurospirillum multivorans; Sulfurospirillum halorespirans	GCF_011769985.2,GCF_025770725.1
pflb	600	98.0	2	4	1	9.09	14	CONCAT,flga,flgb,flgd,flgg,flgh,flgi,flgk,flgl,flgr,flif,flis,fliy	Sulfurospirillum diekertiae; Sulfurospirillum oryzae	Sulfurospirillum multivorans; Sulfurospirillum halorespirans	GCF_011769985.2,GCF_025770725.1
flgi	260	97.0	2	4	1	4.17	14	CONCAT,flgg,flgk,flgl,flha,flhf,flid,flif,flii,flim,fliq,flir,flis	Poseidonibacter lekithochrous; Arcobacter roscoffensis	Poseidonibacter parvus; Poseidonibacter antarcticus	GCF_013283835.1,GCF_024267655.1
fliy	194	95.0	2	4	1	9.09	14	CONCAT,flga,flgb,flgd,flgg,flgh,flgi,flgk,flgl,flgr,flif,flis,pflb	Sulfurospirillum diekertiae; Sulfurospirillum oryzae	Sulfurospirillum multivorans; Sulfurospirillum halorespirans	GCF_011769985.2,GCF_025770725.1
flgi	260	100.0	3	8	1	8.82	12	CONCAT,flga,flgc,flgk,flgl,flia,flig,flim,flip,fliy,pflb	Campylobacter concisus; Campylobacter curvus; Campylobacter anatolicus	Campylobacter pinnipediorum; Campylobacter mucosalis; Campylobacter gastrosuis; Campylobacter majalis; Campylobacter suis	GCF_001298465.1,GCF_013372125.1,GCF_018145655.1
flgk	490	100.0	3	8	1	8.82	12	CONCAT,flga,flgc,flgi,flgl,flia,flig,flim,flip,fliy,pflb	Campylobacter concisus; Campylobacter curvus; Campylobacter anatolicus	Campylobacter pinnipediorum; Campylobacter mucosalis; Campylobacter gastrosuis; Campylobacter majalis; Campylobacter suis	GCF_001298465.1,GCF_013372125.1,GCF_018145655.1
flgl	299	100.0	3	8	1	8.82	12	CONCAT,flga,flgc,flgi,flgk,flia,flig,flim,flip,fliy,pflb	Campylobacter concisus; Campylobacter curvus; Campylobacter anatolicus	Campylobacter pinnipediorum; Campylobacter mucosalis; Campylobacter gastrosuis; Campylobacter majalis; Campylobacter suis	GCF_001298465.1,GCF_013372125.1,GCF_018145655.1
flia	223	100.0	3	8	1	8.82	12	CONCAT,flga,flgc,flgi,flgk,flgl,flig,flim,flip,fliy,pflb	Campylobacter concisus; Campylobacter curvus; Campylobacter anatolicus	Campylobacter pinnipediorum; Campylobacter mucosalis; Campylobacter gastrosuis; Campylobacter majalis; Campylobacter suis	GCF_001298465.1,GCF_013372125.1,GCF_018145655.1
flig	341	100.0	3	8	1	8.82	12	CONCAT,flga,flgc,flgi,flgk,flgl,flia,flim,flip,fliy,pflb	Campylobacter concisus; Campylobacter curvus; Campylobacter anatolicus	Campylobacter pinnipediorum; Campylobacter mucosalis; Campylobacter gastrosuis; Campylobacter majalis; Campylobacter suis	GCF_001298465.1,GCF_013372125.1,GCF_018145655.1
flip	243	100.0	3	8	1	8.82	12	CONCAT,flga,flgc,flgi,flgk,flgl,flia,flig,flim,fliy,pflb	Campylobacter concisus; Campylobacter curvus; Campylobacter anatolicus	Campylobacter pinnipediorum; Campylobacter mucosalis; Campylobacter gastrosuis; Campylobacter majalis; Campylobacter suis	GCF_001298465.1,GCF_013372125.1,GCF_018145655.1
fliy	194	100.0	3	8	1	8.82	12	CONCAT,flga,flgc,flgi,flgk,flgl,flia,flig,flim,flip,pflb	Campylobacter concisus; Campylobacter curvus; Campylobacter anatolicus	Campylobacter pinnipediorum; Campylobacter mucosalis; Campylobacter gastrosuis; Campylobacter majalis; Campylobacter suis	GCF_001298465.1,GCF_013372125.1,GCF_018145655.1
CONCAT	None	100.0	3	8	1	8.82	12	flga,flgc,flgi,flgk,flgl,flia,flig,flim,flip,fliy,pflb	Campylobacter concisus; Campylobacter curvus; Campylobacter anatolicus	Campylobacter pinnipediorum; Campylobacter mucosalis; Campylobacter gastrosuis; Campylobacter majalis; Campylobacter suis	GCF_001298465.1,GCF_013372125.1,GCF_018145655.1
flgc	164	97.0	3	8	1	8.82	12	CONCAT,flga,flgi,flgk,flgl,flia,flig,flim,flip,fliy,pflb	Campylobacter concisus; Campylobacter curvus; Campylobacter anatolicus	Campylobacter pinnipediorum; Campylobacter mucosalis; Campylobacter gastrosuis; Campylobacter majalis; Campylobacter suis	GCF_001298465.1,GCF_013372125.1,GCF_018145655.1
